pvalue,0.5549164
gene_accession_id,MGI:1201378
parameter_id,IMPC_IMM_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD4 NKT cells
gene_symbol,Anxa3
analysis_id,nv3j027f59s8p0y
