mouse_strain,C57BL
gene_symbol,Padi1
pvalue,0.6355321
analysis_id,7920c2550dz38v4
parameter_id,CCP_XRY_060_001
mouse_life_stage,Early adult
parameter_name,Transitional vertebrae
gene_accession_id,MGI:1338893
