mouse_life_stage,Late adult
parameter_name,Respiratory Exchange Ratio
pvalue,0.5632499
gene_symbol,Kcnc3
analysis_id,pcuk2prjbp6232e
parameter_id,IMPC_CAL_017_001
gene_accession_id,MGI:96669
mouse_strain,C57BL
