parameter_id,IMPC_DXA_003_001
parameter_name,Lean mass
gene_accession_id,MGI:1923061
mouse_life_stage,Early adult
pvalue,0.5663538
gene_symbol,Saxo1
mouse_strain,C57BL
analysis_id,j45871j447625wl
