parameter_id,UCDLA_CBC_015_001
analysis_id,5zvawz86xaakl7g
gene_accession_id,MGI:106642
gene_symbol,Baat
mouse_strain,C57BL
pvalue,0.088955
parameter_name,Total cholesterol
mouse_life_stage,Early adult
