gene_accession_id,MGI:1918830
gene_symbol,Mtrf1l
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_008_001
pvalue,0.4435229
parameter_name,Startle response
analysis_id,227z57cl9xrwm74
