parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
pvalue,0.648808
analysis_id,jeek3lmw03do467
mouse_life_stage,Early adult
gene_symbol,Cdc20
gene_accession_id,MGI:1859866
